xmin,ymin,xmax,ymax,label,score
2071.0,1128.0,2141.0,1193.0,Tree,0.7420095801353455
850.0,815.0,932.0,894.0,Tree,0.6995392441749573
127.0,82.0,198.0,154.0,Tree,0.6813341975212097
559.0,880.0,625.0,940.0,Tree,0.6217354536056519
495.0,2207.0,575.0,2283.0,Tree,0.58924800157547
2028.0,924.0,2103.0,995.0,Tree,0.5626395344734192
1181.0,680.0,1251.0,742.0,Tree,0.5611436367034912
1547.0,1483.0,1621.0,1556.0,Tree,0.5546784996986389
613.0,1421.0,687.0,1489.0,Tree,0.54195636510849
1512.0,1223.0,1548.0,1258.0,Tree,0.5038309693336487
560.0,900.0,618.0,936.0,Tree,0.4958341717720032
378.0,576.0,424.0,619.0,Tree,0.49365636706352234
124.0,527.0,193.0,593.0,Tree,0.492632657289505
1561.0,1513.0,1635.0,1565.0,Tree,0.4574844241142273
696.0,974.0,743.0,1000.0,Tree,0.43132346868515015
1443.0,2329.0,1493.0,2379.0,Tree,0.42538779973983765
422.0,2003.0,460.0,2037.0,Tree,0.4214944541454315
274.0,2484.0,320.0,2511.0,Tree,0.42041727900505066
697.0,963.0,745.0,1009.0,Tree,0.39945167303085327
342.0,2098.0,412.0,2167.0,Tree,0.36869707703590393
741.0,2033.0,806.0,2099.0,Tree,0.36300984025001526
